Moochers};{http://www.moochers.com/index.html?submit.html
MP3 Software - Daily Updated};{http://mp3software.simplenet.com/submit.html
mpsmits};{http://www.mpsmits.com/apps/submit.mv
MSExchange.org};{http://www.msexchange.org/submit/feedback.htm
MyZip};{http://www.myzips.com/regform.phtml
Necromancers Software};{http://www.necromancers.com/soft/
Neoland};{http://www.neoland.com/download-it/shareware_form.html
Net Download};{http://www.netdownload.com/login.cfm
Net Shareware};{http://www.netshareware.com/cgi-bin/addshare.cgi
Network Shareware.com};{http://www.networkshareware.com/submit.html
Network22};{http://www.softwarefiles.com/cgi-bin/add.cgi
Neverexpires};{http://www.neverexpires.com/software/Suggest.asp
Newapps};{http://www.jumbo.com/housekeeping/submit.html
Newest Shareware};{http://www.newestshareware.com/add_shareware.htm
Niche Software Exchange};{http://nichesoftwarexg.com/Submit.html
No Nags Freeware};{http://www.nonags.com/sub/index1.html
Novell Shareware};{http://www.novellshareware.com/submit.html
NPSoft};{http://www.npsoft.org/gsssubmission.htm
NPWare};{http://www.npware.org
NT Ware};{http://home.win2000archives.com/submit.html
Pace Computing shareware collection};{http://www.geocities.com/SiliconValley/2932/index.html
padfiles};{http://www.padfiles.com/authors.htm
palmgear};{http://www.palmgear.com/shared/login.cfm?&req=developer
Pass The Shareware};{http://www.passtheshareware.com/submit.htm
Paul's Picks};{http://paulspicks.com/add_sw_entry.asp
PC Help Online};{http://www.pchelponline.com/forms/56-00-000.htm
PC Win Resource Center};{http://www.pcwin.com/submit.software1.html
PC World};{http://www.pcworld.com/downloads/file_upload/0,00.asp
Pigeons Software};{http://www.topdownloads.net/submissions/index.php
polderware};{http://www.polderware.com
Progar};{http://www.progar.com/search/cgi-bin/add.cgi
Program Files};{http://www.programfiles.com/submit.asp
Programmer's Heaven};{http://www.programmersheaven.com/other/submission.htm
Quality Shareware};{http://quality-shareware.com/submit.asp
Radfiles};{http://www.radfiles.com
RegSoft};{http://www.regsoft.com
Review Now};{http://www.reviewnow.com/addlink.asp
Rocket Download};{http://www.rocketdownload.com/frames/authfram.htm
screensavers-wallpaper};{http://www.screensavers-wallpaper.com/admin/wallpaperform.cfm
Server Watch};{http://serverwatch.internet.com/submitnews.html
Share Me};{http://shareme.com/wares/newfile.html
Share Source};{http://www.angelfire.com/sc/jonathanet/submit.html
shareware Addict};{http://www.sharewareaddict.com
Shareware Author Index(SAX)};{http://mini.net/sax/authors.html
Shareware Directory};{http://www.sharewaredirectory.com
Shareware Games};{http://www.goodfiles.com/submit.asp
Shareware Junction};{http://www.sharewarejunction.com/submit/
Shareware Place};{http://www.sharewareplace.com
Shareware Stockpile};{http://stockpile.com
Shareware Vault};{http://www.sharewarevault.com/submit.html
SharewareJunkies.com};{http://www.sharewarejunkies.com/Working/authcom.htm
sharewarelinks.com};{http://www.sharewarelinks.com
Simplenet};{http://www.mdwin.com/about/addsoft.html
Simply the Best Shareware};{http://www.simplythebest.net/submit.html
SimTel};{http://www.simtel.net/upload.php
Skylark Utilities};{http://www.skylarkutilities.com/submitsoft.pcs
Slaughterhouse};{http://www.slaughterhouse.com/submit.html
Soft Search};{http://www.softsearch.com/especially/developers/add_edit_top.html
Soft Seekers};{http://www.softseekers.com/developerspage.asp
Soft Watcher};{http://www.softwatcher.com/submit/
softlist.net};{http://www.softlist.net/author/
Softlist.ru};{http://www.softlist.net/cgi-bin/add.cgi
Softpile};{http://www.softpile.com/submit.html
Softscout};{http://www.softscout.com/A556CC/softscout.nsf/F_SUGGEST!OpenForm
Software Bundles};{http://www.softwarebundles.com/authors.html
Software Files};{http://www.softwarefiles.com/cgi-bin/add.cgi
Software Now};{http://softwarenow.iboost.com/sp_login.html
Software Tyme};{http://softwaretyme.com/downloads.php?op=AddDownload
Software Vault};{http://www.softwarevault.com/submit.asp
Software4win};{http://www.software4win.com/login.htm
SoftwareX};{http://www.superfiles.com/index.mv?action=add_files
Stroud};{http://www.stroud.com
Stuff All};{http://stuffall.com/software/swsubmit.shtml
Subloads};{http://www.subloads.com/submissions/index.php
Super Shareware};{http://www.supershareware.com/ASP/Developers/AuthorsArea.asp
SWreg Atlantic Coast};{http://www.swreg.org/pages/shareware_authors.html
Tiklsoft};{http://www.tiklsoft.com/add.shtml
Top Desktop};{http://topdesktop.com/add.htm
Top File};{http://www.topfile.com/developer/
Top Soft};{http://www.topsoft.com
Top100 Programs};{http://top100programs.com/addsoftware.asp
Tucofs};{http://www.tucofs.com/tucofs.htm
TUCOWS};{https://author.tucows.com/arc
Turbo Guide};{http://turboguide.com/cdprod1/cgi/tshpub00
Ultra Software};{http://www.ultrasoftware.net/archive/add.asp
Upload};{http://www.upload.com
Vingrad};{http://www.vingrad.ru
WAP-Shareware};{http://www.wap-shareware.com/submit.shtml
Web Attack};{http://www.webattack.com/submit/
Wexes};{http://www.wexes.com/crypto/publisherform.php3
Win Market};{http://www.winmarket.com/winlib/index.pl?sec=sbm&sub=sbm&from_sec=home&from_sub=home&os=w98
Win Picks};{http://www.winpicks.com/softwaresub.asp
Win Shareware};{http://www.win-shareware.com/submit.mv
Win95 daci.net};{http://win95.daci.net
Win95site};{http://www.win95site.com
Windows Central};{http://www.windowscentral.com/software
Windows PC};{http://www.windowspc.com
Windows Tracker};{http://www.techtracker.com/mp/devapp.m
Windows-Shareware};{http://www.windows-shareware.com/submit.html
Winfiles};{http://www.winfiles.com/apps
WinNT Magazine};{https://onramp.itbuynet.com/
Winsite};{http://uploads.winsite.com
WINternet Quebec};{http://winternet.planete.qc.ca/indexn.asp
Wintidy};{http://www.wintidy.com
WinWare Links};{http://www.winwarelinks.com/submit.htm
Wireless Devnet};{http://www.wirelessdevnet.com
Wireless In a Nut Shell};{http://www.wirelessinanutshell.com/submit/submit.shtml
Wireless Resource};{http://www.alphapagingsoftware.com
World O' Windows};{http://www.worldowindows.com/win95.html
World of Shareware};{http://www.tvtoday.de/NAVIGATOR/shareware/unix.html
WUGnet};{http://www.wugnet.com
Wulfert};{http://www.wulfert.com
xs4all};{http://www.xs4all.nl/~ferguson/fergus02.html
Yankee WebWorks};{http://www.yankeewebworks.com/wck
Yippee};{http://www.yippee.net/main/dev/default.asp
ZD Net Software Library};{http://www.zdnet.com/downloads
ZD Net upload.com};{http://hotfiles.zdnet.com
